Country,Date Range,Segment,Users
Burkina Faso,"Jan 1, 2023 - Jun 30, 2023",All Users,1
Burkina Faso,"Jan 1, 2023 - Jun 30, 2023",With /es/,1
Burkina Faso,"Jan 1, 2023 - Jun 30, 2023",Without /es/,0
Bermuda,"Jan 1, 2023 - Jun 30, 2023",All Users,1
Bermuda,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Bermuda,"Jan 1, 2023 - Jun 30, 2023",Without /es/,1
Brunei,"Jan 1, 2023 - Jun 30, 2023",All Users,1
Brunei,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Brunei,"Jan 1, 2023 - Jun 30, 2023",Without /es/,1
Caribbean Netherlands,"Jan 1, 2023 - Jun 30, 2023",All Users,1
Caribbean Netherlands,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Caribbean Netherlands,"Jan 1, 2023 - Jun 30, 2023",Without /es/,1
Belize,"Jan 1, 2023 - Jun 30, 2023",All Users,1
Belize,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Belize,"Jan 1, 2023 - Jun 30, 2023",Without /es/,1
Côte d’Ivoire,"Jan 1, 2023 - Jun 30, 2023",All Users,1
Côte d’Ivoire,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Côte d’Ivoire,"Jan 1, 2023 - Jun 30, 2023",Without /es/,1
Cameroon,"Jan 1, 2023 - Jun 30, 2023",All Users,1
Cameroon,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Cameroon,"Jan 1, 2023 - Jun 30, 2023",Without /es/,1
Fiji,"Jan 1, 2023 - Jun 30, 2023",All Users,1
Fiji,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Fiji,"Jan 1, 2023 - Jun 30, 2023",Without /es/,1
Guinea-Bissau,"Jan 1, 2023 - Jun 30, 2023",All Users,1
Guinea-Bissau,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Guinea-Bissau,"Jan 1, 2023 - Jun 30, 2023",Without /es/,1
Haiti,"Jan 1, 2023 - Jun 30, 2023",All Users,1
Haiti,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Haiti,"Jan 1, 2023 - Jun 30, 2023",Without /es/,1
Jersey,"Jan 1, 2023 - Jun 30, 2023",All Users,1
Jersey,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Jersey,"Jan 1, 2023 - Jun 30, 2023",Without /es/,1
Laos,"Jan 1, 2023 - Jun 30, 2023",All Users,1
Laos,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Laos,"Jan 1, 2023 - Jun 30, 2023",Without /es/,1
Liberia,"Jan 1, 2023 - Jun 30, 2023",All Users,1
Liberia,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Liberia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,1
Montenegro,"Jan 1, 2023 - Jun 30, 2023",All Users,1
Montenegro,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Montenegro,"Jan 1, 2023 - Jun 30, 2023",Without /es/,1
Madagascar,"Jan 1, 2023 - Jun 30, 2023",All Users,1
Madagascar,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Madagascar,"Jan 1, 2023 - Jun 30, 2023",Without /es/,1
Mali,"Jan 1, 2023 - Jun 30, 2023",All Users,1
Mali,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Mali,"Jan 1, 2023 - Jun 30, 2023",Without /es/,1
Mongolia,"Jan 1, 2023 - Jun 30, 2023",All Users,1
Mongolia,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Mongolia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,1
Martinique,"Jan 1, 2023 - Jun 30, 2023",All Users,1
Martinique,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Martinique,"Jan 1, 2023 - Jun 30, 2023",Without /es/,1
Maldives,"Jan 1, 2023 - Jun 30, 2023",All Users,1
Maldives,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Maldives,"Jan 1, 2023 - Jun 30, 2023",Without /es/,1
Malawi,"Jan 1, 2023 - Jun 30, 2023",All Users,1
Malawi,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Malawi,"Jan 1, 2023 - Jun 30, 2023",Without /es/,1
Sudan,"Jan 1, 2023 - Jun 30, 2023",All Users,1
Sudan,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Sudan,"Jan 1, 2023 - Jun 30, 2023",Without /es/,1
Timor-Leste,"Jan 1, 2023 - Jun 30, 2023",All Users,1
Timor-Leste,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Timor-Leste,"Jan 1, 2023 - Jun 30, 2023",Without /es/,1
Total,"Jan 1, 2023 - Jun 30, 2023",All Users,23530
Total,"Jan 1, 2023 - Jun 30, 2023",With /es/,623
Total,"Jan 1, 2023 - Jun 30, 2023",Without /es/,23018
