Country,Date Range,Segment,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,CoreText - PDF Viewed (Goal 1 Conversion Rate),CoreText - PDF Viewed (Goal 1 Completions),CoreText - PDF Viewed (Goal 1 Value),,,
Colombia,"Jan 1, 2023 - Jun 30, 2023",All Users,157,157,191,0.00%,4.04,00:02:27,0.00%,0,$0.00,,,
Colombia,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,30,29,32,0.00%,5.25,00:04:14,0.00%,0,$0.00,,,
Colombia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,130,128,159,0.00%,3.8,00:02:05,0.00%,0,$0.00,,,
Sweden,"Jan 1, 2023 - Jun 30, 2023",All Users,149,147,165,0.00%,3.85,00:00:38,0.00%,0,$0.00,,,
Sweden,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,2,2,2,0.00%,3,00:00:00,0.00%,0,$0.00,,,
Sweden,"Jan 1, 2023 - Jun 30, 2023",Without /es/,147,145,163,0.00%,3.86,00:00:38,0.00%,0,$0.00,,,
South Korea,"Jan 1, 2023 - Jun 30, 2023",All Users,120,120,145,0.69%,3.93,00:01:15,0.00%,0,$0.00,,,
South Korea,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00,,,
South Korea,"Jan 1, 2023 - Jun 30, 2023",Without /es/,120,120,145,0.69%,3.93,00:01:15,0.00%,0,$0.00,,,
Argentina,"Jan 1, 2023 - Jun 30, 2023",All Users,114,114,135,0.00%,4.32,00:01:52,0.00%,0,$0.00,,,
Argentina,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,18,17,24,0.00%,4.62,00:03:47,0.00%,0,$0.00,,,
Argentina,"Jan 1, 2023 - Jun 30, 2023",Without /es/,97,97,111,0.00%,4.25,00:01:27,0.00%,0,$0.00,,,
Guatemala,"Jan 1, 2023 - Jun 30, 2023",All Users,112,112,121,0.00%,3.89,00:01:07,0.00%,0,$0.00,,,
Guatemala,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,72,70,76,0.00%,3.99,00:01:27,0.00%,0,$0.00,,,
Guatemala,"Jan 1, 2023 - Jun 30, 2023",Without /es/,42,42,45,0.00%,3.73,00:00:34,0.00%,0,$0.00,,,
Japan,"Jan 1, 2023 - Jun 30, 2023",All Users,105,103,118,4.24%,4.26,00:00:37,0.00%,0,$0.00,,,
Japan,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1,1,1,0.00%,15,00:00:30,0.00%,0,$0.00,,,
Japan,"Jan 1, 2023 - Jun 30, 2023",Without /es/,105,102,117,4.27%,4.17,00:00:37,0.00%,0,$0.00,,,
Russia,"Jan 1, 2023 - Jun 30, 2023",All Users,105,103,123,0.00%,4.15,00:02:04,0.00%,0,$0.00,,,
Russia,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1,1,1,0.00%,9,00:01:29,0.00%,0,$0.00,,,
Russia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,104,102,122,0.00%,4.11,00:02:04,0.00%,0,$0.00,,,
South Africa,"Jan 1, 2023 - Jun 30, 2023",All Users,100,98,182,0.00%,10.62,00:15:47,0.00%,0,$0.00,,,
South Africa,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,4,1,33,0.00%,24.64,00:36:30,0.00%,0,$0.00,,,
South Africa,"Jan 1, 2023 - Jun 30, 2023",Without /es/,99,97,149,0.00%,7.51,00:11:11,0.00%,0,$0.00,,,
Pakistan,"Jan 1, 2023 - Jun 30, 2023",All Users,95,94,133,0.00%,4.29,00:01:20,0.00%,0,$0.00,,,
Pakistan,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1,1,1,0.00%,3,00:00:19,0.00%,0,$0.00,,,
Pakistan,"Jan 1, 2023 - Jun 30, 2023",Without /es/,94,93,132,0.00%,4.3,00:01:20,0.00%,0,$0.00,,,
Israel,"Jan 1, 2023 - Jun 30, 2023",All Users,93,91,121,0.00%,3.5,00:00:31,0.00%,0,$0.00,,,
Israel,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1,1,1,0.00%,12,00:00:59,0.00%,0,$0.00,,,
Israel,"Jan 1, 2023 - Jun 30, 2023",Without /es/,92,90,120,0.00%,3.42,00:00:31,0.00%,0,$0.00,,,
Greece,"Jan 1, 2023 - Jun 30, 2023",All Users,92,91,108,0.00%,4.21,00:01:45,0.00%,0,$0.00,,,
Greece,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00,,,
Greece,"Jan 1, 2023 - Jun 30, 2023",Without /es/,92,91,108,0.00%,4.21,00:01:45,0.00%,0,$0.00,,,
Indonesia,"Jan 1, 2023 - Jun 30, 2023",All Users,89,87,113,0.88%,3.65,00:01:39,0.00%,0,$0.00,,,
Indonesia,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,2,2,2,0.00%,3,00:00:00,0.00%,0,$0.00,,,
Indonesia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,87,85,111,0.90%,3.66,00:01:40,0.00%,0,$0.00,,,
Austria,"Jan 1, 2023 - Jun 30, 2023",All Users,88,86,108,0.00%,4.44,00:01:11,0.00%,0,$0.00,,,
Austria,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,2,2,2,0.00%,4.5,00:02:48,0.00%,0,$0.00,,,
Austria,"Jan 1, 2023 - Jun 30, 2023",Without /es/,86,84,106,0.00%,4.43,00:01:09,0.00%,0,$0.00,,,
Belgium,"Jan 1, 2023 - Jun 30, 2023",All Users,84,83,93,0.00%,3.45,00:00:46,0.00%,0,$0.00,,,
Belgium,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1,1,1,0.00%,3,00:00:00,0.00%,0,$0.00,,,
Belgium,"Jan 1, 2023 - Jun 30, 2023",Without /es/,83,82,92,0.00%,3.46,00:00:47,0.00%,0,$0.00,,,
Switzerland,"Jan 1, 2023 - Jun 30, 2023",All Users,84,82,97,2.06%,3.62,00:00:21,0.00%,0,$0.00,,,
Switzerland,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,3,3,5,20.00%,3.8,00:00:32,0.00%,0,$0.00,,,
Switzerland,"Jan 1, 2023 - Jun 30, 2023",Without /es/,81,79,92,1.09%,3.61,00:00:20,0.00%,0,$0.00,,,
Romania,"Jan 1, 2023 - Jun 30, 2023",All Users,84,83,112,0.00%,3.46,00:00:17,0.00%,0,$0.00,,,
Romania,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,4,4,4,0.00%,8.25,00:03:47,0.00%,0,$0.00,,,
Romania,"Jan 1, 2023 - Jun 30, 2023",Without /es/,80,79,108,0.00%,3.28,00:00:10,0.00%,0,$0.00,,,
Poland,"Jan 1, 2023 - Jun 30, 2023",All Users,82,80,104,0.00%,3.49,00:00:16,0.00%,0,$0.00,,,
Poland,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,2,2,2,0.00%,3,00:00:00,0.00%,0,$0.00,,,
Poland,"Jan 1, 2023 - Jun 30, 2023",Without /es/,80,78,102,0.00%,3.5,00:00:16,0.00%,0,$0.00,,,
Ireland,"Jan 1, 2023 - Jun 30, 2023",All Users,79,78,105,0.95%,3.6,00:00:25,0.00%,0,$0.00,,,
Ireland,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1,1,1,0.00%,3,00:00:00,0.00%,0,$0.00,,,
Ireland,"Jan 1, 2023 - Jun 30, 2023",Without /es/,78,77,104,0.96%,3.61,00:00:25,0.00%,0,$0.00,,,
Norway,"Jan 1, 2023 - Jun 30, 2023",All Users,73,73,82,0.00%,3.5,00:01:31,0.00%,0,$0.00,,,
Norway,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00,,,
Norway,"Jan 1, 2023 - Jun 30, 2023",Without /es/,73,73,82,0.00%,3.5,00:01:31,0.00%,0,$0.00,,,
Singapore,"Jan 1, 2023 - Jun 30, 2023",All Users,69,68,76,0.00%,3.83,00:00:52,0.00%,0,$0.00,,,
Singapore,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1,1,1,0.00%,3,00:00:00,0.00%,0,$0.00,,,
Singapore,"Jan 1, 2023 - Jun 30, 2023",Without /es/,68,67,75,0.00%,3.84,00:00:53,0.00%,0,$0.00,,,
Denmark,"Jan 1, 2023 - Jun 30, 2023",All Users,67,65,89,0.00%,4.69,00:01:07,0.00%,0,$0.00,,,
